type	date	text	polarity	subjectivity	username	location	lat long formula	geo	follower count	retweets	favorites
Natural Pet Food	Mon Apr 11 21:19:27 +0000 2016	"Treat your pup or kitty right! Natural K9 is a natural pet food store in nearby Davie, offering friendly,... https://t.co/VHggiZ7qQL"	0.233035714	0.458928571	ResortPembroke	"Pembroke Pines, Fl  33025"	"26.02322025, -80.3412389662561"	"26.02322025, -80.3412389662561"	482	0	0
At Petco	Fri Apr 15 17:05:38 +0000 2016	RT @Petco: A clean tank makes for a happy fish. #DidYouKnow it's recommended you replace 25% of the water once a month? https://t.co/wHiwQpÉ??	0.583333333	0.85	frankjg_jr	"Fort Lauderdale, FL"	"26.1223084, -80.1433785"	"26.1223084, -80.1433785"	364	2	0
At Petco	Wed Apr 13 00:08:41 +0000 2016	"@Petco Excited, too! With 4 dogs, spring cleaning is much needed! LOL"	0.50625	0.55	BarkandSwagger	"Fort Lauderdale, FL."	"26.1223084, -80.1433785"	"26.1223084, -80.1433785"	19611	3	0
At Petco	Tue Apr 12 22:15:17 +0000 2016	Got pet? Need #springcleaning! @Petco @aboutamom #PetcoParty 4/13 6pm PT. #Prizes RSVP: https://t.co/yPDe0ZFG7C https://t.co/D15jwQSnWy	0	0	BarkandSwagger	"Fort Lauderdale, FL."	"26.1223084, -80.1433785"	"26.1223084, -80.1433785"	1263	3	0
At Petco	Thu Apr 14 00:00:57 +0000 2016	IN 1 HR! Got pets? @Petco  (4/13) 6 pm PT Cleaning tips #PetcoParty #Prizes RSVP to enter: https://t.co/yPDe0ZFG7C https://t.co/nF7S6TWKUA	0	0	BarkandSwagger	"Fort Lauderdale, FL."	"26.1223084, -80.1433785"	"26.1223084, -80.1433785"	929	0	3
Petco	Wed Apr 13 00:08:41 +0000 2016	"@Petco Excited, too! With 4 dogs, spring cleaning is much needed! LOL"	0.50625	0.55	BarkandSwagger	"Fort Lauderdale, FL."	"26.1223084, -80.1433785"	"26.1223084, -80.1433785"	196	0	0
Petco	Thu Apr 14 00:00:57 +0000 2016	IN 1 HR! Got pets? @Petco  (4/13) 6 pm PT Cleaning tips #PetcoParty #Prizes RSVP to enter: https://t.co/yPDe0ZFG7C https://t.co/nF7S6TWKUA	0	0	BarkandSwagger	"Fort Lauderdale, FL."	"26.1223084, -80.1433785"	"26.1223084, -80.1433785"	196	0	0
At Pet Supplies Plus	Mon Apr 11 15:22:30 +0000 2016	Practicing down-stay with distracting treats nearby @petsuppliesplus #evolutionarydogtraining #dogsofinstagram... https://t.co/2EYia8ZMMA	0	0	FLSmartPets	"Ft Lauderdale, FL USA"	"26.1223084, -80.1433785"	"26.1223084, -80.1433785"	245	0	1
At Pet Supplies Plus	Mon Apr 11 15:22:30 +0000 2016	Practicing down-stay with distracting treats nearby @petsuppliesplus #evolutionarydogtraining #dogsofinstagram... https://t.co/2EYia8ZMMA	0	0	FLSmartPets	"Ft Lauderdale, FL USA"	"26.1223084, -80.1433785"	"26.1223084, -80.1433785"	996	0	1
Dog Food	Wed Apr 13 00:13:23 +0000 2016	RT @brawadis: Soooo my mom secretly recorded my dad tryna force my dog to eat his food .. Umm ????????????????????????????????????????????????????????????????????WHY ARE U PREGNANT https://tÉ??	-0.033333333	0.6	iz_cabral	"Naples, FL"	"26.1420358, -81.7948102"	"26.1420358, -81.7948102"	240	0	0
Dog Image	Thu Apr 14 00:22:23 +0000 2016	RT @RetrieverPics: me as a dog owner https://t.co/VHJ1i1E5tH	0	0	mrshaleyxo	"naples, fl"	"26.1420358, -81.7948102"	"26.1420358, -81.7948102"	1551	2	0
Dog Park	Tue Apr 12 23:54:23 +0000 2016	Hoping @WiltonManorsCty suspends unnecessary dog park permit as public sex dominates Colohatchee Park. @lbarszewski  @soflagaynews	-0.2	0.483333333	MichaelRajner	"Wilton Manors, FL"	"26.1585919, -80.1372011076241"	"26.1585919, -80.1372011076241"		49	
Dog Food	Fri Apr 08 03:12:52 +0000 2016	"RT @AHMalcolm: For every retweet this gets, Pedigree will donate one bowl of dog food to dogs in need! ???? #tweetforbowls http://t.co/z4rmc2HÉ??"	0	0	dariana912_	"San Juan, TX"	"26.1892409, -98.1552871"	"26.1892409, -98.1552871"	17	2	0
Puppy Image	Sat Apr 09 23:39:50 +0000 2016	??ê?. I would be a cute puppy https://t.co/d7sBdIRh4N	0.5	1	_jasminepaulin	"Pharr, TX"	"26.1947962, -98.1836215"	"26.1947962, -98.1836215"	36310	0	0
At Chewy	Tue Apr 12 23:26:20 +0000 2016	@Chewy Your the best!	1	0.3	taylorswift1288	"Abram, TX"	"26.1997957, -98.4111286"	"26.1997957, -98.4111286"	589	60	0
At Chewy	Tue Apr 12 23:26:16 +0000 2016	RT @Chewy: WOOF! We're having a 10K giveaway! Tell all of your fur-iends! RT &amp; Follow for a chance to win! #giveaway #pets https://t.co/jb0É??	1	0.4	taylorswift1288	"Abram, TX"	"26.1997957, -98.4111286"	"26.1997957, -98.4111286"	504	60	0
At Petco	Wed Apr 13 00:07:29 +0000 2016	RT @peta: This is what it's like for animals at pet store suppliers. Never buy animals from @PetSmart @Petco! #NationalPetDay https://t.co/É??	0	0	brinaa_	"Edinburg, Texas"	"26.3013982, -98.16245"	"26.3013982, -98.16245"	57	0	0
